NaceCodeGroup,BelgianMunicipality,Zipcode,Country,EntityCount
43,Genk,3600,BEL,1150
49,Bruxelles,1000,BEL,1146
85,Ixelles,1050,BEL,1145
96,Liège,4000,BEL,1137
86,Brugge,8000,BEL,1136
47,Waregem,8790,BEL,1132
93,Gent,9000,BEL,1131
47,Saint-Gilles,1060,BEL,1128
47,Verviers,4800,BEL,1126
68,Hasselt,3500,BEL,1126
68,Knokke-Heist,8300,BEL,1125
68,Liège,4000,BEL,1119
70,Namur,5000,BEL,1107
47,Deinze,9850,BEL,1106
46,Namur,5020,BEL,1104
82,Schaerbeek,1030,BEL,1100
95,Unknown,,BEL,1094
47,Lokeren,9160,BEL,1092
47,Dendermonde,9200,BEL,1087
46,Uccle,1180,BEL,1079
86,Liège,4000,BEL,1075
70,Brasschaat,2930,BEL,1066
73,Leuven,3000,BEL,1063
96,Hasselt,3500,BEL,1063
74,Leuven,3010,BEL,1059
70,Etterbeek,1040,BEL,1057
73,Hasselt,3500,BEL,1057
85,Hasselt,3500,BEL,1057
47,Tongeren-Borgloon,3700,BEL,1055
86,Leuven,3000,BEL,1054
47,Wavre,1300,BEL,1044
70,Roeselare,8800,BEL,1039
47,Mouscron,7700,BEL,1038
82,Aalst,9320,BEL,1036
47,Beringen,3580,BEL,1034
85,Namur,5000,BEL,1027
82,Charleroi,6041,BEL,1026
82,Beveren-Kruibeke-Zwijndrecht,2070,BEL,1023
43,Heist-op-den-Berg,2221,BEL,1021
47,Waterloo,1410,BEL,1016
47,Ieper,8900,BEL,1013
70,Woluwe-Saint-Lambert,1200,BEL,1013
71,Liège,4000,BEL,1011
47,Bilzen-Hoeselt,3730,BEL,1010
90,Ixelles,1050,BEL,1008
43,Beringen,3582,BEL,1007
47,Turnhout,2300,BEL,1003
73,Brugge,8000,BEL,1001
70,Waterloo,1410,BEL,1000
59,Gent,9000,BEL,999
46,Mechelen,2800,BEL,995
62,Uccle,1180,BEL,995
59,Unknown,,BEL,994
47,Geel,2440,BEL,992
43,Deinze,9850,BEL,989
47,Maasmechelen,3630,BEL,989
70,Schilde,2970,BEL,988
82,Oostende,8400,BEL,986
74,Brugge,8380,BEL,985
70,Knokke-Heist,8300,BEL,973
43,Sint-Pieters-Leeuw,1600,BEL,965
96,Namur,5000,BEL,962
62,Mechelen,2800,BEL,961
85,Uccle,1180,BEL,956
