EnterpriseCount,BelgianMunicipality,Zipcode,Country
2472,Saint-Ghislain,7334,BEL
2470,Jabbeke,8490,BEL
2461,Braine-le-Comte,7090,BEL
2456,Beernem,8730,BEL
2445,Putte,2580,BEL
2435,Chaumont-Gistoux,1325,BEL
2424,Malle,2390,BEL
2412,Sint-Gillis-Waas,9170,BEL
2397,Hannut,4280,BEL
2384,Grâce-Hollogne,4460,BEL
2377,Essen,2910,BEL
2376,Blankenberge,8370,BEL
2359,Flémalle,4400,BEL
2355,Peer,3990,BEL
2349,Bonheiden,2820,BEL
2348,Keerbergen,3140,BEL
2334,Jodoigne,1370,BEL
2304,Lebbeke,9280,BEL
2293,Haaltert,9450,BEL
2292,Eghezée,5310,BEL
2289,Lummen,3560,BEL
2284,Wommelgem,2160,BEL
2278,Beerse,2340,BEL
2272,Stekene,9190,BEL
2259,Visé,4600,BEL
2238,Lille,2275,BEL
2238,Kraainem,1950,BEL
2237,Lubbeek,3212,BEL
2218,Riemst,3770,BEL
2217,Walcourt,5650,BEL
2204,Herzele,9552,BEL
2159,Ravels,2380,BEL
2149,Damme,8340,BEL
2133,Veurne,8630,BEL
2130,Zandhoven,2242,BEL
2115,Kortemark,8610,BEL
2111,Lede,9340,BEL
2102,Herk-de-Stad,3540,BEL
2100,Zonnebeke,8980,BEL
2095,Kuurne,8520,BEL
2076,Jemeppe-sur-Sambre,5190,BEL
2061,Haacht,3150,BEL
2043,Libramont-Chevigny,6800,BEL
2035,Ichtegem,8480,BEL
2024,Oosterzele,9860,BEL
2021,Deerlijk,8540,BEL
2017,Brakel,9660,BEL
2014,Wervik,8940,BEL
2014,Staden,8840,BEL
2003,Duffel,2570,BEL
1997,Rumst,2840,BEL
1997,Malmedy,4960,BEL
1981,Oud-Turnhout,2360,BEL
1973,Waasmunster,9250,BEL
1962,Berlare,9290,BEL
1961,Soumagne,4630,BEL
1961,Dinant,5500,BEL
1959,Wezembeek-Oppem,1970,BEL
1958,Tremelo,3120,BEL
1924,Assenede,9968,BEL
1921,Gavere,9890,BEL
1916,Stabroek,2940,BEL
1912,Opwijk,1745,BEL
1912,Boortmeerbeek,3190,BEL
1912,Boechout,2530,BEL
1910,Gerpinnes,6280,BEL
1898,Ham-sur-Heure-Nalinnes,6120,BEL
1892,Nieuwpoort,8620,BEL
1887,Kampenhout,1910,BEL
1886,Manage,7170,BEL
1883,Blégny,4672,BEL
1882,Pont-à-Celles,6230,BEL
1874,Braine-le-Château,1440,BEL
1869,Thuin,6530,BEL
1860,Esneux,4130,BEL
1859,Péruwelz,7600,BEL
1852,Aywaille,4920,BEL
1848,Hamont-Achel,3930,BEL
1836,Seneffe,7180,BEL
1832,Theux,4910,BEL
1832,Durbuy,6941,BEL
1828,Alken,3570,BEL
1815,Lessines,7860,BEL
1809,Laarne,9270,BEL
1808,Bocholt,3950,BEL
1807,Moorslede,8890,BEL
1804,Enghien,7850,BEL
1792,Wijnegem,2110,BEL
1792,Waremme,4300,BEL
1792,Couvin,5660,BEL
1788,De Haan,8420,BEL
1783,Villers-la-Ville,1495,BEL
1782,Affligem,1790,BEL
1777,Mettet,5640,BEL
1766,Profondeville,5170,BEL
1762,Ingelmunster,8770,BEL
1762,Boom,2850,BEL
1761,Ardooie,8850,BEL
1754,Frameries,7080,BEL
1748,Frasnes-lez-Anvaing,7911,BEL
1748,Fléron,4621,BEL
1746,Herselt,2230,BEL
1740,Arendonk,2370,BEL
1737,Buggenhout,9255,BEL
1730,Tielt-Winge,3390,BEL
1724,La Hulpe,1310,BEL
1723,Hooglede,8830,BEL
1719,Leopoldsburg,3970,BEL
1712,Laakdal,2431,BEL
1693,Rochefort,5580,BEL
1693,Gistel,8470,BEL
1691,Comines-Warneton,7780,BEL
1681,Hechtel-Eksel,3940,BEL
1670,Oud-Heverlee,3050,BEL
1668,Denderleeuw,9470,BEL
1662,Bredene,8450,BEL
1660,Mont-Saint-Guibert,1435,BEL
1658,Rijkevorsel,2310,BEL
1653,Wielsbeke,8710,BEL
1644,Hoeilaart,1560,BEL
1643,Landen,3400,BEL
1629,Kinrooi,3640,BEL
1629,Grobbendonk,2280,BEL
1628,Morlanwelz,7140,BEL
1618,Court-Saint-Etienne,1490,BEL
1608,Sankt Vith,4780,BEL
1606,Wanze,4520,BEL
1606,Leuze-en-Hainaut,7900,BEL
1593,Olen,2250,BEL
1589,Saint-Nicolas,4420,BEL
1571,Fontaine-l'Evêque,6140,BEL
1565,Ledegem,8880,BEL
1564,Roosdaal,1760,BEL
1549,Steenokkerzeel,1820,BEL
1545,Bierbeek,3360,BEL
1534,Perwez,1360,BEL
1528,Berlaar,2590,BEL
1514,Houthulst,8650,BEL
1512,Lennik,1750,BEL
1512,Boussu,7301,BEL
1507,Retie,2470,BEL
1501,Beloeil,7972,BEL
1495,Neupré,4120,BEL
1492,Liedekerke,1770,BEL
1485,Chimay,6460,BEL
1476,Lichtervelde,8810,BEL
1476,Holsbeek,3220,BEL
1475,De Panne,8660,BEL
1465,Huldenberg,3040,BEL
1450,Sint-Lievens-Houtem,9520,BEL
1440,Fosses-la-Ville,5070,BEL
1437,Bertem,3060,BEL
1430,Heuvelland,8953,BEL
1415,Spa,4900,BEL
1410,Wichelen,9260,BEL
1407,Awans,4340,BEL
1402,Quaregnon,7390,BEL
1384,Koekelare,8680,BEL
1372,Pittem,8740,BEL
1367,Hulshout,2235,BEL
1360,Chapelle-lez-Herlaimont,7160,BEL
1340,Dour,7370,BEL
1337,Dentergem,8720,BEL
1334,Jalhay,4845,BEL
1327,Avelgem,8580,BEL
1321,Walhain,1457,BEL
1315,Oudenburg,8460,BEL
1308,Welkenraedt,4840,BEL
1298,Waimes,4950,BEL
1296,Philippeville,5600,BEL
1294,Montigny-le-Tilleul,6111,BEL
1289,Halen,3545,BEL
1289,Florennes,5620,BEL
1289,Fernelmont,5380,BEL
1282,Merksplas,2330,BEL
1279,Jurbise,7050,BEL
1277,Bertrix,6880,BEL
1275,Zwalm,9630,BEL
1272,Langemark-Poelkapelle,8920,BEL
1267,Les Bons Villers,6210,BEL
1266,La Bruyère,5080,BEL
1261,Hove,2540,BEL
1257,Vosselaar,2350,BEL
1251,Colfontaine,7340,BEL
1250,Kapelle-op-den-Bos,1880,BEL
1243,Sombreffe,5140,BEL
1242,Wortegem-Petegem,9790,BEL
1241,Boutersem,3370,BEL
1240,Rebecq,1430,BEL
1235,Amay,4540,BEL
1234,Zoutleeuw,3440,BEL
1226,Yvoir,5530,BEL
1224,Meerhout,2450,BEL
1218,Oostrozebeke,8780,BEL
1213,Zelzate,9060,BEL
1209,Dessel,2480,BEL
1208,Anderlues,6150,BEL
1206,Kortenaken,3472,BEL
1202,Assesse,5333,BEL
1198,Begijnendijk,3130,BEL
1185,Ittre,1460,BEL
1184,Beauvechain,1320,BEL
1176,Ecaussinnes,7190,BEL
1171,Virton,6762,BEL
1168,Silly,7830,BEL
1155,Orp-Jauche,1350,BEL
1153,Neufchâteau,6840,BEL
1140,Hamois,5361,BEL
1139,Juprelle,4450,BEL
1139,Chastre,1450,BEL
1137,Sint-Laureins,9980,BEL
1134,Le Roeulx,7070,BEL
1134,Beauraing,5570,BEL
1130,Bernissart,7320,BEL
1128,Aubange,6791,BEL
1122,Vielsalm,6690,BEL
1121,Gesves,5340,BEL
1116,Dison,4820,BEL
1110,Maarkedal,9680,BEL
1110,Herenthout,2270,BEL
1104,Gingelom,3890,BEL
1104,Bassenge,4690,BEL
1098,Stavelot,4970,BEL
1097,Dalhem,4607,BEL
1094,Bekkevoort,3460,BEL
1078,Thimister-Clermont,4890,BEL
1070,Floreffe,5150,BEL
1068,Hemiksem,2620,BEL
1067,Kluisbergen,9690,BEL
1048,Villers-le-Bouillet,4530,BEL
1042,Alveringem,8691,BEL
1039,Quévy,7040,BEL
1038,Zutendaal,3690,BEL
1038,Beyne-Heusay,4610,BEL
1033,Plombières,4850,BEL
1031,Pepinster,4860,BEL
1026,Kaprijke,9970,BEL
1026,Drogenbos,1620,BEL
1022,Schelle,2627,BEL
1020,Aiseau-Presles,6250,BEL
1009,Wellen,3830,BEL
989,Heers,3870,BEL
988,Raeren,4731,BEL
988,Estaimpuis,7730,BEL
987,Beaumont,6500,BEL
986,Trooz,4870,BEL
986,Incourt,1315,BEL
985,As,3665,BEL
