EnterpriseCount,NaceCodeGroup,JuridicalForm,Code,Description
20,33,14.0,014,Société anonyme
10,33,721.0,721,Société ou association sans personnalité juridique
9,33,11.0,011,Société en nom collectif
8,33,30.0,030,Entité étrangère
8,33,3.0,003,Unité TVA
6,33,17.0,017,Association sans but lucratif
2,33,12.0,012,Société en commandite simple
1,33,8.0,008,Société coopérative à responsabilité limitée
1,33,610.0,610,Société à responsabilité limitée
408,33,,,
342,33,610.0,610,Société à responsabilité limitée
38,33,612.0,612,Société en commandite
30,33,15.0,015,Société privée à responsabilité limitée
28,33,14.0,014,Société anonyme
20,33,11.0,011,Société en nom collectif
6,33,12.0,012,Société en commandite simple
5,33,721.0,721,Société ou association sans personnalité juridique
4,33,3.0,003,Unité TVA
3,33,30.0,030,Entité étrangère
1,33,8.0,008,Société coopérative à responsabilité limitée
2228,33,610.0,610,Société à responsabilité limitée
1506,33,,,
220,33,612.0,612,Société en commandite
217,33,14.0,014,Société anonyme
133,33,15.0,015,Société privée à responsabilité limitée
91,33,30.0,030,Entité étrangère
61,33,11.0,011,Société en nom collectif
41,33,3.0,003,Unité TVA
35,33,12.0,012,Société en commandite simple
22,33,721.0,721,Société ou association sans personnalité juridique
2,33,706.0,706,Société coopérative
2,33,8.0,008,Société coopérative à responsabilité limitée
1,33,418.0,418,Régie communale autonome
1,33,411.0,411,Ville / commune
1,33,235.0,235,Entité étrangère sans établissement belge avec représentant responsable TVA
611,35,610.0,610,Société à responsabilité limitée
414,35,14.0,014,Société anonyme
144,35,,,
63,35,15.0,015,Société privée à responsabilité limitée
52,35,706.0,706,Société coopérative
51,35,70.0,070,Association des copropriétaires
33,35,612.0,612,Société en commandite
27,35,17.0,017,Association sans but lucratif
22,35,12.0,012,Société en commandite simple
19,35,3.0,003,Unité TVA
18,35,721.0,721,Société ou association sans personnalité juridique
11,35,11.0,011,Société en nom collectif
10,35,8.0,008,Société coopérative à responsabilité limitée
9,35,30.0,030,Entité étrangère
8,35,411.0,411,Ville / commune
7,35,417.0,417,Association chargée de mission (Région flamande)
3,35,412.0,412,Centre public d'action sociale
2,35,418.0,418,Régie communale autonome
1,35,716.0,716,Société coopérative de droit public
1,35,420.0,420,Association de CPAS
1,35,414.0,414,Intercommunale
1,35,350.0,350,Autorité de la Communauté germanophone
1,35,320.0,320,Autorité de la Région wallonne
1,35,235.0,235,Entité étrangère sans établissement belge avec représentant responsable TVA
1,35,25.0,025,Société agricole
13,35,610.0,610,Société à responsabilité limitée
6,35,,,
5,35,14.0,014,Société anonyme
4,35,721.0,721,Société ou association sans personnalité juridique
3,35,706.0,706,Société coopérative
3,35,70.0,070,Association des copropriétaires
1,35,420.0,420,Association de CPAS
124,35,610.0,610,Société à responsabilité limitée
84,35,14.0,014,Société anonyme
26,35,,,
8,35,12.0,012,Société en commandite simple
7,35,612.0,612,Société en commandite
5,35,706.0,706,Société coopérative
5,35,11.0,011,Société en nom collectif
4,35,30.0,030,Entité étrangère
4,35,15.0,015,Société privée à responsabilité limitée
4,35,3.0,003,Unité TVA
1,35,17.0,017,Association sans but lucratif
147,35,610.0,610,Société à responsabilité limitée
92,35,14.0,014,Société anonyme
31,35,,,
15,35,30.0,030,Entité étrangère
14,35,706.0,706,Société coopérative
10,35,15.0,015,Société privée à responsabilité limitée
9,35,417.0,417,Association chargée de mission (Région flamande)
9,35,12.0,012,Société en commandite simple
7,35,612.0,612,Société en commandite
6,35,11.0,011,Société en nom collectif
3,35,17.0,017,Association sans but lucratif
3,35,3.0,003,Unité TVA
2,35,411.0,411,Ville / commune
2,35,70.0,070,Association des copropriétaires
1,35,721.0,721,Société ou association sans personnalité juridique
1,35,616.0,616,Société à responsabilité limitée de droit public
1,35,414.0,414,Intercommunale
1,35,303.0,303,Autre service fédéral
1,35,114.0,114,Société anonyme de droit public
1,35,8.0,008,Société coopérative à responsabilité limitée
796,35,,,
568,35,610.0,610,Société à responsabilité limitée
280,35,14.0,014,Société anonyme
57,35,70.0,070,Association des copropriétaires
40,35,612.0,612,Société en commandite
35,35,706.0,706,Société coopérative
35,35,17.0,017,Association sans but lucratif
32,35,15.0,015,Société privée à responsabilité limitée
29,35,30.0,030,Entité étrangère
22,35,3.0,003,Unité TVA
19,35,11.0,011,Société en nom collectif
16,35,411.0,411,Ville / commune
12,35,12.0,012,Société en commandite simple
11,35,721.0,721,Société ou association sans personnalité juridique
6,35,8.0,008,Société coopérative à responsabilité limitée
1,35,616.0,616,Société à responsabilité limitée de droit public
1,35,420.0,420,Association de CPAS
1,35,412.0,412,Centre public d'action sociale
1,35,125.0,125,Association internationale sans but lucratif
1,35,26.0,026,Fondation privée
9,35,610.0,610,Société à responsabilité limitée
2,35,14.0,014,Société anonyme
31,35,610.0,610,Société à responsabilité limitée
24,35,14.0,014,Société anonyme
5,35,15.0,015,Société privée à responsabilité limitée
3,35,3.0,003,Unité TVA
2,35,12.0,012,Société en commandite simple
1,35,612.0,612,Société en commandite
1,35,418.0,418,Régie communale autonome
1,35,30.0,030,Entité étrangère
1,35,17.0,017,Association sans but lucratif
1,35,8.0,008,Société coopérative à responsabilité limitée
1,35,,,
43,35,14.0,014,Société anonyme
33,35,610.0,610,Société à responsabilité limitée
9,35,417.0,417,Association chargée de mission (Région flamande)
9,35,30.0,030,Entité étrangère
5,35,706.0,706,Société coopérative
4,35,3.0,003,Unité TVA
4,35,,,
2,35,721.0,721,Société ou association sans personnalité juridique
2,35,15.0,015,Société privée à responsabilité limitée
1,35,414.0,414,Intercommunale
1,35,411.0,411,Ville / commune
1,35,235.0,235,Entité étrangère sans établissement belge avec représentant responsable TVA
1,35,11.0,011,Société en nom collectif
559,35,,,
42,35,610.0,610,Société à responsabilité limitée
23,35,14.0,014,Société anonyme
9,35,612.0,612,Société en commandite
9,35,30.0,030,Entité étrangère
4,35,11.0,011,Société en nom collectif
1,35,721.0,721,Société ou association sans personnalité juridique
1,35,706.0,706,Société coopérative
1,35,8.0,008,Société coopérative à responsabilité limitée
1,35,3.0,003,Unité TVA
1,35,610.0,610,Société à responsabilité limitée
1,35,14.0,014,Société anonyme
64,35,610.0,610,Société à responsabilité limitée
27,35,14.0,014,Société anonyme
15,35,,,
4,35,706.0,706,Société coopérative
4,35,411.0,411,Ville / commune
4,35,12.0,012,Société en commandite simple
3,35,15.0,015,Société privée à responsabilité limitée
3,35,11.0,011,Société en nom collectif
3,35,3.0,003,Unité TVA
1,35,721.0,721,Société ou association sans personnalité juridique
1,35,508.0,508,Société coopérative à responsabilité limitée à finalité sociale
1,35,320.0,320,Autorité de la Région wallonne
1,35,30.0,030,Entité étrangère
1,35,17.0,017,Association sans but lucratif
67,35,,,
1,35,70.0,070,Association des copropriétaires
1,35,14.0,014,Société anonyme
113,36,610.0,610,Société à responsabilité limitée
74,36,411.0,411,Ville / commune
50,36,14.0,014,Société anonyme
21,36,,,
19,36,706.0,706,Société coopérative
15,36,15.0,015,Société privée à responsabilité limitée
9,36,417.0,417,Association chargée de mission (Région flamande)
4,36,721.0,721,Société ou association sans personnalité juridique
4,36,11.0,011,Société en nom collectif
4,36,3.0,003,Unité TVA
3,36,30.0,030,Entité étrangère
2,36,716.0,716,Société coopérative de droit public
2,36,418.0,418,Régie communale autonome
2,36,108.0,108,Société coopérative à responsabilité limitée de droit public
2,36,12.0,012,Société en commandite simple
1,36,612.0,612,Société en commandite
1,36,422.0,422,Zone de secours
1,36,379.0,379,Ministère de l'Intérieur
1,36,320.0,320,Autorité de la Région wallonne
1,36,114.0,114,Société anonyme de droit public
1,36,110.0,110,"État, Province, Région, Communauté"
1,36,26.0,026,Fondation privée
1,36,17.0,017,Association sans but lucratif
1,36,6.0,006,Société coopérative à responsabilité illimitée
323,37,610.0,610,Société à responsabilité limitée
258,37,,,
78,37,411.0,411,Ville / commune
72,37,14.0,014,Société anonyme
57,37,15.0,015,Société privée à responsabilité limitée
13,37,721.0,721,Société ou association sans personnalité juridique
12,37,612.0,612,Société en commandite
9,37,706.0,706,Société coopérative
6,37,11.0,011,Société en nom collectif
4,37,17.0,017,Association sans but lucratif
3,37,417.0,417,Association chargée de mission (Région flamande)
2,37,8.0,008,Société coopérative à responsabilité limitée
2,37,3.0,003,Unité TVA
1,37,716.0,716,Société coopérative de droit public
1,37,416.0,416,Association prestataire de services (Région flamande)
1,37,114.0,114,Société anonyme de droit public
1,37,60.0,060,Groupement d'intérêt économique
1,37,30.0,030,Entité étrangère
1,37,12.0,012,Société en commandite simple
299,38,610.0,610,Société à responsabilité limitée
242,38,,,
74,38,14.0,014,Société anonyme
34,38,15.0,015,Société privée à responsabilité limitée
22,38,417.0,417,Association chargée de mission (Région flamande)
18,38,17.0,017,Association sans but lucratif
15,38,706.0,706,Société coopérative
11,38,721.0,721,Société ou association sans personnalité juridique
9,38,11.0,011,Société en nom collectif
9,38,3.0,003,Unité TVA
6,38,612.0,612,Société en commandite
4,38,8.0,008,Société coopérative à responsabilité limitée
3,38,30.0,030,Entité étrangère
1,38,716.0,716,Société coopérative de droit public
1,38,416.0,416,Association prestataire de services (Région flamande)
1,38,330.0,330,Autorité de la Région de Bruxelles-Capitale
1,38,125.0,125,Association internationale sans but lucratif
1,38,16.0,016,Société coopérative (ancien statut)
72,38,610.0,610,Société à responsabilité limitée
20,38,,,
18,38,14.0,014,Société anonyme
5,38,15.0,015,Société privée à responsabilité limitée
3,38,721.0,721,Société ou association sans personnalité juridique
2,38,612.0,612,Société en commandite
2,38,17.0,017,Association sans but lucratif
2,38,11.0,011,Société en nom collectif
1,38,706.0,706,Société coopérative
1,38,417.0,417,Association chargée de mission (Région flamande)
1,38,30.0,030,Entité étrangère
1,38,12.0,012,Société en commandite simple
828,38,610.0,610,Société à responsabilité limitée
660,38,,,
401,38,14.0,014,Société anonyme
88,38,15.0,015,Société privée à responsabilité limitée
42,38,17.0,017,Association sans but lucratif
40,38,3.0,003,Unité TVA
32,38,706.0,706,Société coopérative
29,38,612.0,612,Société en commandite
25,38,11.0,011,Société en nom collectif
13,38,721.0,721,Société ou association sans personnalité juridique
13,38,30.0,030,Entité étrangère
9,38,12.0,012,Société en commandite simple
8,38,417.0,417,Association chargée de mission (Région flamande)
6,38,8.0,008,Société coopérative à responsabilité limitée
3,38,125.0,125,Association internationale sans but lucratif
2,38,508.0,508,Société coopérative à responsabilité limitée à finalité sociale
1,38,411.0,411,Ville / commune
4,38,14.0,014,Société anonyme
1,38,417.0,417,Association chargée de mission (Région flamande)
1,38,,,
23,38,610.0,610,Société à responsabilité limitée
12,38,14.0,014,Société anonyme
6,38,,,
1,38,706.0,706,Société coopérative
1,38,11.0,011,Société en nom collectif
1,38,3.0,003,Unité TVA
1,38,610.0,610,Société à responsabilité limitée
67,38,610.0,610,Société à responsabilité limitée
51,38,14.0,014,Société anonyme
24,38,,,
9,38,15.0,015,Société privée à responsabilité limitée
5,38,721.0,721,Société ou association sans personnalité juridique
4,38,612.0,612,Société en commandite
4,38,17.0,017,Association sans but lucratif
4,38,3.0,003,Unité TVA
3,38,417.0,417,Association chargée de mission (Région flamande)
2,38,151.0,151,Autre forme légale
2,38,12.0,012,Société en commandite simple
2,38,11.0,011,Société en nom collectif
1,38,124.0,124,Etablissement public
1,38,29.0,029,Fondation d'utilité publique
332,38,610.0,610,Société à responsabilité limitée
177,38,14.0,014,Société anonyme
81,38,,,
38,38,15.0,015,Société privée à responsabilité limitée
25,38,417.0,417,Association chargée de mission (Région flamande)
19,38,3.0,003,Unité TVA
15,38,721.0,721,Société ou association sans personnalité juridique
14,38,612.0,612,Société en commandite
13,38,706.0,706,Société coopérative
11,38,17.0,017,Association sans but lucratif
6,38,12.0,012,Société en commandite simple
4,38,11.0,011,Société en nom collectif
4,38,8.0,008,Société coopérative à responsabilité limitée
3,38,411.0,411,Ville / commune
3,38,30.0,030,Entité étrangère
2,38,235.0,235,Entité étrangère sans établissement belge avec représentant responsable TVA
1,38,716.0,716,Société coopérative de droit public
1,38,125.0,125,Association internationale sans but lucratif
392,39,610.0,610,Société à responsabilité limitée
181,39,,,
61,39,14.0,014,Société anonyme
40,39,721.0,721,Société ou association sans personnalité juridique
28,39,612.0,612,Société en commandite
27,39,15.0,015,Société privée à responsabilité limitée
12,39,17.0,017,Association sans but lucratif
12,39,11.0,011,Société en nom collectif
11,39,3.0,003,Unité TVA
9,39,30.0,030,Entité étrangère
5,39,411.0,411,Ville / commune
3,39,12.0,012,Société en commandite simple
3,39,8.0,008,Société coopérative à responsabilité limitée
2,39,124.0,124,Etablissement public
1,39,706.0,706,Société coopérative
1,39,418.0,418,Régie communale autonome
1,39,114.0,114,Société anonyme de droit public
24560,41,610.0,610,Société à responsabilité limitée
12546,41,,,
2742,41,15.0,015,Société privée à responsabilité limitée
2389,41,14.0,014,Société anonyme
907,41,612.0,612,Société en commandite
643,41,721.0,721,Société ou association sans personnalité juridique
628,41,11.0,011,Société en nom collectif
391,41,30.0,030,Entité étrangère
239,41,12.0,012,Société en commandite simple
204,41,3.0,003,Unité TVA
71,41,8.0,008,Société coopérative à responsabilité limitée
40,41,6.0,006,Société coopérative à responsabilité illimitée
37,41,706.0,706,Société coopérative
18,41,235.0,235,Entité étrangère sans établissement belge avec représentant responsable TVA
17,41,17.0,017,Association sans but lucratif
5,41,616.0,616,Société à responsabilité limitée de droit public
5,41,508.0,508,Société coopérative à responsabilité limitée à finalité sociale
4,41,13.0,013,Société en commandite par actions
2,41,411.0,411,Ville / commune
2,41,114.0,114,Société anonyme de droit public
2,41,16.0,016,Société coopérative (ancien statut)
1,41,515.0,515,Société privée à responsabilité limitée à finalité sociale
1,41,420.0,420,Association de CPAS
1,41,416.0,416,Association prestataire de services (Région flamande)
1,41,230.0,230,Entité étrangère avec un bien immobilier en Belgique (avec personnalité juridique)
1,41,125.0,125,Association internationale sans but lucratif
1,41,124.0,124,Etablissement public
1,41,60.0,060,Groupement d'intérêt économique
1,41,26.0,026,Fondation privée
3083,41,610.0,610,Société à responsabilité limitée
1766,41,,,
235,41,15.0,015,Société privée à responsabilité limitée
206,41,721.0,721,Société ou association sans personnalité juridique
203,41,14.0,014,Société anonyme
116,41,612.0,612,Société en commandite
99,41,11.0,011,Société en nom collectif
31,41,3.0,003,Unité TVA
25,41,12.0,012,Société en commandite simple
14,41,30.0,030,Entité étrangère
5,41,8.0,008,Société coopérative à responsabilité limitée
3,41,706.0,706,Société coopérative
1,41,508.0,508,Société coopérative à responsabilité limitée à finalité sociale
1,41,17.0,017,Association sans but lucratif
5369,41,610.0,610,Société à responsabilité limitée
3251,41,,,
635,41,721.0,721,Société ou association sans personnalité juridique
560,41,14.0,014,Société anonyme
477,41,15.0,015,Société privée à responsabilité limitée
251,41,612.0,612,Société en commandite
139,41,11.0,011,Société en nom collectif
101,41,30.0,030,Entité étrangère
71,41,3.0,003,Unité TVA
55,41,12.0,012,Société en commandite simple
12,41,8.0,008,Société coopérative à responsabilité limitée
8,41,6.0,006,Société coopérative à responsabilité illimitée
4,41,235.0,235,Entité étrangère sans établissement belge avec représentant responsable TVA
3,41,706.0,706,Société coopérative
3,41,17.0,017,Association sans but lucratif
2,41,418.0,418,Régie communale autonome
1,41,722.0,722,Association momentanée
1,41,508.0,508,Société coopérative à responsabilité limitée à finalité sociale
1,41,416.0,416,Association prestataire de services (Région flamande)
1,41,310.0,310,Autorité de la Région flamande et de la Communauté flamande
3037,42,,,
2440,42,610.0,610,Société à responsabilité limitée
568,42,14.0,014,Société anonyme
349,42,721.0,721,Société ou association sans personnalité juridique
338,42,15.0,015,Société privée à responsabilité limitée
115,42,612.0,612,Société en commandite
77,42,11.0,011,Société en nom collectif
43,42,12.0,012,Société en commandite simple
37,42,3.0,003,Unité TVA
27,42,30.0,030,Entité étrangère
9,42,8.0,008,Société coopérative à responsabilité limitée
5,42,706.0,706,Société coopérative
5,42,235.0,235,Entité étrangère sans établissement belge avec représentant responsable TVA
3,42,17.0,017,Association sans but lucratif
2,42,422.0,422,Zone de secours
2,42,411.0,411,Ville / commune
2,42,114.0,114,Société anonyme de droit public
2,42,6.0,006,Société coopérative à responsabilité illimitée
1,42,616.0,616,Société à responsabilité limitée de droit public
1,42,416.0,416,Association prestataire de services (Région flamande)
1,42,310.0,310,Autorité de la Région flamande et de la Communauté flamande
1,42,16.0,016,Société coopérative (ancien statut)
1,42,13.0,013,Société en commandite par actions
154,42,610.0,610,Société à responsabilité limitée
124,42,,,
67,42,721.0,721,Société ou association sans personnalité juridique
30,42,14.0,014,Société anonyme
21,42,15.0,015,Société privée à responsabilité limitée
6,42,612.0,612,Société en commandite
6,42,30.0,030,Entité étrangère
5,42,11.0,011,Société en nom collectif
3,42,3.0,003,Unité TVA
1,42,12.0,012,Société en commandite simple
190,42,610.0,610,Société à responsabilité limitée
156,42,721.0,721,Société ou association sans personnalité juridique
156,42,,,
67,42,14.0,014,Société anonyme
25,42,15.0,015,Société privée à responsabilité limitée
8,42,11.0,011,Société en nom collectif
7,42,612.0,612,Société en commandite
7,42,30.0,030,Entité étrangère
5,42,12.0,012,Société en commandite simple
2,42,3.0,003,Unité TVA
1,42,706.0,706,Société coopérative
1,42,114.0,114,Société anonyme de droit public
1,42,8.0,008,Société coopérative à responsabilité limitée
1,42,6.0,006,Société coopérative à responsabilité illimitée
595,42,610.0,610,Société à responsabilité limitée
329,42,,,
90,42,721.0,721,Société ou association sans personnalité juridique
30,42,612.0,612,Société en commandite
30,42,14.0,014,Société anonyme
28,42,15.0,015,Société privée à responsabilité limitée
7,42,30.0,030,Entité étrangère
6,42,11.0,011,Société en nom collectif
4,42,3.0,003,Unité TVA
3,42,12.0,012,Société en commandite simple
2,42,706.0,706,Société coopérative
1,42,411.0,411,Ville / commune
749,42,610.0,610,Société à responsabilité limitée
723,42,,,
133,42,721.0,721,Société ou association sans personnalité juridique
66,42,15.0,015,Société privée à responsabilité limitée
39,42,612.0,612,Société en commandite
34,42,14.0,014,Société anonyme
18,42,11.0,011,Société en nom collectif
8,42,411.0,411,Ville / commune
5,42,30.0,030,Entité étrangère
5,42,12.0,012,Société en commandite simple
5,42,3.0,003,Unité TVA
1,42,706.0,706,Société coopérative
1,42,8.0,008,Société coopérative à responsabilité limitée
900,42,,,
747,42,610.0,610,Société à responsabilité limitée
122,42,721.0,721,Société ou association sans personnalité juridique
84,42,15.0,015,Société privée à responsabilité limitée
38,42,14.0,014,Société anonyme
36,42,612.0,612,Société en commandite
15,42,11.0,011,Société en nom collectif
5,42,30.0,030,Entité étrangère
5,42,12.0,012,Société en commandite simple
5,42,3.0,003,Unité TVA
2,42,8.0,008,Société coopérative à responsabilité limitée
1,42,706.0,706,Société coopérative
1,42,508.0,508,Société coopérative à responsabilité limitée à finalité sociale
2543,42,610.0,610,Société à responsabilité limitée
1918,42,,,
325,42,14.0,014,Société anonyme
250,42,15.0,015,Société privée à responsabilité limitée
230,42,721.0,721,Société ou association sans personnalité juridique
149,42,612.0,612,Société en commandite
58,42,11.0,011,Société en nom collectif
51,42,30.0,030,Entité étrangère
42,42,12.0,012,Société en commandite simple
14,42,3.0,003,Unité TVA
6,42,706.0,706,Société coopérative
5,42,8.0,008,Société coopérative à responsabilité limitée
4,42,417.0,417,Association chargée de mission (Région flamande)
4,42,17.0,017,Association sans but lucratif
2,42,235.0,235,Entité étrangère sans établissement belge avec représentant responsable TVA
1,42,114.0,114,Société anonyme de droit public
1,42,16.0,016,Société coopérative (ancien statut)
1,42,6.0,006,Société coopérative à responsabilité illimitée
326,42,610.0,610,Société à responsabilité limitée
315,42,,,
77,42,14.0,014,Société anonyme
51,42,721.0,721,Société ou association sans personnalité juridique
38,42,15.0,015,Société privée à responsabilité limitée
11,42,612.0,612,Société en commandite
4,42,12.0,012,Société en commandite simple
2,42,11.0,011,Société en nom collectif
2,42,3.0,003,Unité TVA
1,42,706.0,706,Société coopérative
1,42,235.0,235,Entité étrangère sans établissement belge avec représentant responsable TVA
1,42,30.0,030,Entité étrangère
1,42,8.0,008,Société coopérative à responsabilité limitée
161,42,610.0,610,Société à responsabilité limitée
131,42,721.0,721,Société ou association sans personnalité juridique
101,42,14.0,014,Société anonyme
78,42,,,
24,42,15.0,015,Société privée à responsabilité limitée
7,42,3.0,003,Unité TVA
6,42,30.0,030,Entité étrangère
5,42,612.0,612,Société en commandite
3,42,12.0,012,Société en commandite simple
2,42,411.0,411,Ville / commune
2,42,235.0,235,Entité étrangère sans établissement belge avec représentant responsable TVA
2,42,11.0,011,Société en nom collectif
1,42,508.0,508,Société coopérative à responsabilité limitée à finalité sociale
1,42,124.0,124,Etablissement public
715,42,610.0,610,Société à responsabilité limitée
366,42,,,
118,42,721.0,721,Société ou association sans personnalité juridique
85,42,14.0,014,Société anonyme
59,42,15.0,015,Société privée à responsabilité limitée
35,42,30.0,030,Entité étrangère
29,42,612.0,612,Société en commandite
19,42,11.0,011,Société en nom collectif
11,42,12.0,012,Société en commandite simple
11,42,3.0,003,Unité TVA
2,42,706.0,706,Société coopérative
2,42,8.0,008,Société coopérative à responsabilité limitée
2,42,6.0,006,Société coopérative à responsabilité illimitée
1,42,418.0,418,Régie communale autonome
1,42,17.0,017,Association sans but lucratif
3842,43,,,
3741,43,610.0,610,Société à responsabilité limitée
380,43,15.0,015,Société privée à responsabilité limitée
248,43,14.0,014,Société anonyme
181,43,612.0,612,Société en commandite
105,43,11.0,011,Société en nom collectif
97,43,721.0,721,Société ou association sans personnalité juridique
37,43,12.0,012,Société en commandite simple
37,43,3.0,003,Unité TVA
15,43,30.0,030,Entité étrangère
9,43,8.0,008,Société coopérative à responsabilité limitée
9,43,6.0,006,Société coopérative à responsabilité illimitée
4,43,706.0,706,Société coopérative
2,43,235.0,235,Entité étrangère sans établissement belge avec représentant responsable TVA
1,43,508.0,508,Société coopérative à responsabilité limitée à finalité sociale
1,43,17.0,017,Association sans but lucratif
14215,43,,,
9500,43,610.0,610,Société à responsabilité limitée
1133,43,15.0,015,Société privée à responsabilité limitée
682,43,14.0,014,Société anonyme
430,43,612.0,612,Société en commandite
298,43,11.0,011,Société en nom collectif
234,43,721.0,721,Société ou association sans personnalité juridique
170,43,12.0,012,Société en commandite simple
79,43,3.0,003,Unité TVA
43,43,30.0,030,Entité étrangère
29,43,8.0,008,Société coopérative à responsabilité limitée
19,43,6.0,006,Société coopérative à responsabilité illimitée
10,43,706.0,706,Société coopérative
7,43,235.0,235,Entité étrangère sans établissement belge avec représentant responsable TVA
3,43,17.0,017,Association sans but lucratif
2,43,722.0,722,Association momentanée
2,43,16.0,016,Société coopérative (ancien statut)
1,43,508.0,508,Société coopérative à responsabilité limitée à finalité sociale
1,43,114.0,114,Société anonyme de droit public
2088,43,,,
1164,43,610.0,610,Société à responsabilité limitée
160,43,15.0,015,Société privée à responsabilité limitée
78,43,14.0,014,Société anonyme
48,43,612.0,612,Société en commandite
33,43,721.0,721,Société ou association sans personnalité juridique
26,43,12.0,012,Société en commandite simple
26,43,11.0,011,Société en nom collectif
19,43,3.0,003,Unité TVA
13,43,30.0,030,Entité étrangère
3,43,8.0,008,Société coopérative à responsabilité limitée
2,43,706.0,706,Société coopérative
1,43,235.0,235,Entité étrangère sans établissement belge avec représentant responsable TVA
1,43,16.0,016,Société coopérative (ancien statut)
20485,43,610.0,610,Société à responsabilité limitée
17912,43,,,
2041,43,15.0,015,Société privée à responsabilité limitée
1243,43,612.0,612,Société en commandite
1214,43,14.0,014,Société anonyme
602,43,11.0,011,Société en nom collectif
332,43,12.0,012,Société en commandite simple
271,43,721.0,721,Société ou association sans personnalité juridique
184,43,3.0,003,Unité TVA
157,43,30.0,030,Entité étrangère
47,43,8.0,008,Société coopérative à responsabilité limitée
18,43,706.0,706,Société coopérative
16,43,17.0,017,Association sans but lucratif
8,43,235.0,235,Entité étrangère sans établissement belge avec représentant responsable TVA
6,43,6.0,006,Société coopérative à responsabilité illimitée
5,43,417.0,417,Association chargée de mission (Région flamande)
2,43,616.0,616,Société à responsabilité limitée de droit public
2,43,16.0,016,Société coopérative (ancien statut)
1,43,51.0,051,Autre forme de droit privé avec personnalité juridique
4279,43,,,
3525,43,610.0,610,Société à responsabilité limitée
293,43,612.0,612,Société en commandite
267,43,15.0,015,Société privée à responsabilité limitée
177,43,721.0,721,Société ou association sans personnalité juridique
131,43,11.0,011,Société en nom collectif
79,43,14.0,014,Société anonyme
56,43,12.0,012,Société en commandite simple
27,43,3.0,003,Unité TVA
26,43,30.0,030,Entité étrangère
5,43,8.0,008,Société coopérative à responsabilité limitée
4,43,706.0,706,Société coopérative
3,43,17.0,017,Association sans but lucratif
1,43,616.0,616,Société à responsabilité limitée de droit public
84,43,,,
68,43,610.0,610,Société à responsabilité limitée
6,43,612.0,612,Société en commandite
2,43,721.0,721,Société ou association sans personnalité juridique
1,43,14.0,014,Société anonyme
1,43,12.0,012,Société en commandite simple
33,43,,,
27,43,610.0,610,Société à responsabilité limitée
4,43,612.0,612,Société en commandite
1,43,721.0,721,Société ou association sans personnalité juridique
1,43,30.0,030,Entité étrangère
10846,43,610.0,610,Société à responsabilité limitée
9343,43,,,
1117,43,15.0,015,Société privée à responsabilité limitée
545,43,612.0,612,Société en commandite
427,43,14.0,014,Société anonyme
241,43,11.0,011,Société en nom collectif
151,43,12.0,012,Société en commandite simple
86,43,3.0,003,Unité TVA
75,43,721.0,721,Société ou association sans personnalité juridique
63,43,30.0,030,Entité étrangère
26,43,8.0,008,Société coopérative à responsabilité limitée
8,43,6.0,006,Société coopérative à responsabilité illimitée
6,43,706.0,706,Société coopérative
5,43,17.0,017,Association sans but lucratif
4,43,235.0,235,Entité étrangère sans établissement belge avec représentant responsable TVA
2,43,616.0,616,Société à responsabilité limitée de droit public
2,43,16.0,016,Société coopérative (ancien statut)
1,43,412.0,412,Centre public d'action sociale
1,43,13.0,013,Société en commandite par actions
12817,43,610.0,610,Société à responsabilité limitée
8208,43,,,
1407,43,15.0,015,Société privée à responsabilité limitée
793,43,14.0,014,Société anonyme
573,43,612.0,612,Société en commandite
255,43,11.0,011,Société en nom collectif
174,43,12.0,012,Société en commandite simple
135,43,30.0,030,Entité étrangère
133,43,3.0,003,Unité TVA
103,43,721.0,721,Société ou association sans personnalité juridique
38,43,8.0,008,Société coopérative à responsabilité limitée
17,43,235.0,235,Entité étrangère sans établissement belge avec représentant responsable TVA
8,43,6.0,006,Société coopérative à responsabilité illimitée
7,43,706.0,706,Société coopérative
5,43,16.0,016,Société coopérative (ancien statut)
3,43,17.0,017,Association sans but lucratif
2,43,616.0,616,Société à responsabilité limitée de droit public
1,43,515.0,515,Société privée à responsabilité limitée à finalité sociale
1,43,508.0,508,Société coopérative à responsabilité limitée à finalité sociale
779,43,,,
361,43,610.0,610,Société à responsabilité limitée
49,43,15.0,015,Société privée à responsabilité limitée
14,43,612.0,612,Société en commandite
13,43,14.0,014,Société anonyme
9,43,30.0,030,Entité étrangère
9,43,3.0,003,Unité TVA
8,43,11.0,011,Société en nom collectif
5,43,12.0,012,Société en commandite simple
3,43,721.0,721,Société ou association sans personnalité juridique
1,43,8.0,008,Société coopérative à responsabilité limitée
15400,43,,,
8796,43,610.0,610,Société à responsabilité limitée
1217,43,15.0,015,Société privée à responsabilité limitée
485,43,612.0,612,Société en commandite
362,43,11.0,011,Société en nom collectif
307,43,14.0,014,Société anonyme
205,43,12.0,012,Société en commandite simple
55,43,3.0,003,Unité TVA
53,43,721.0,721,Société ou association sans personnalité juridique
39,43,8.0,008,Société coopérative à responsabilité limitée
36,43,30.0,030,Entité étrangère
15,43,706.0,706,Société coopérative
13,43,6.0,006,Société coopérative à responsabilité illimitée
7,43,235.0,235,Entité étrangère sans établissement belge avec représentant responsable TVA
6,43,17.0,017,Association sans but lucratif
4,43,16.0,016,Société coopérative (ancien statut)
1,43,616.0,616,Société à responsabilité limitée de droit public
