EnterpriseCount,NaceCodeGroup,JuridicalForm,Code,Description
9,12,17.0,017,Association sans but lucratif
4,12,612.0,612,Société en commandite
3,12,11.0,011,Société en nom collectif
2,12,721.0,721,Société ou association sans personnalité juridique
1,12,15.0,015,Société privée à responsabilité limitée
1,12,14.0,014,Société anonyme
275,12,,,
79,12,610.0,610,Société à responsabilité limitée
18,12,17.0,017,Association sans but lucratif
12,12,721.0,721,Société ou association sans personnalité juridique
9,12,706.0,706,Société coopérative
9,12,612.0,612,Société en commandite
7,12,11.0,011,Société en nom collectif
6,12,14.0,014,Société anonyme
4,12,15.0,015,Société privée à responsabilité limitée
1,12,8.0,008,Société coopérative à responsabilité limitée
455,12,,,
147,12,610.0,610,Société à responsabilité limitée
47,12,721.0,721,Société ou association sans personnalité juridique
29,12,612.0,612,Société en commandite
21,12,14.0,014,Société anonyme
14,12,15.0,015,Société privée à responsabilité limitée
13,12,11.0,011,Société en nom collectif
11,12,30.0,030,Entité étrangère
10,12,17.0,017,Association sans but lucratif
4,12,706.0,706,Société coopérative
2,12,25.0,025,Société agricole
1,12,12.0,012,Société en commandite simple
1,12,8.0,008,Société coopérative à responsabilité limitée
754,13,,,
616,13,610.0,610,Société à responsabilité limitée
95,13,14.0,014,Société anonyme
80,13,15.0,015,Société privée à responsabilité limitée
39,13,612.0,612,Société en commandite
24,13,11.0,011,Société en nom collectif
19,13,721.0,721,Société ou association sans personnalité juridique
10,13,17.0,017,Association sans but lucratif
7,13,25.0,025,Société agricole
6,13,3.0,003,Unité TVA
5,13,12.0,012,Société en commandite simple
4,13,30.0,030,Entité étrangère
3,13,706.0,706,Société coopérative
1,13,26.0,026,Fondation privée
1,13,8.0,008,Société coopérative à responsabilité limitée
488,13,,,
313,13,610.0,610,Société à responsabilité limitée
35,13,612.0,612,Société en commandite
25,13,11.0,011,Société en nom collectif
22,13,15.0,015,Société privée à responsabilité limitée
22,13,14.0,014,Société anonyme
19,13,721.0,721,Société ou association sans personnalité juridique
10,13,17.0,017,Association sans but lucratif
6,13,12.0,012,Société en commandite simple
2,13,3.0,003,Unité TVA
1,13,706.0,706,Société coopérative
1,13,560.0,560,Groupement d'intérêt économique à finalité sociale
1,13,30.0,030,Entité étrangère
1,13,25.0,025,Société agricole
1,13,8.0,008,Société coopérative à responsabilité limitée
2555,14,,,
523,14,612.0,612,Société en commandite
518,14,721.0,721,Société ou association sans personnalité juridique
390,14,610.0,610,Société à responsabilité limitée
86,14,14.0,014,Société anonyme
75,14,11.0,011,Société en nom collectif
55,14,15.0,015,Société privée à responsabilité limitée
34,14,25.0,025,Société agricole
10,14,17.0,017,Association sans but lucratif
