NaceCodeGroup,CreationYear,EntityCount
81,1940-1959,39
84,1920-1939,39
84,1940-1959,39
16,1940-1959,37
64,Before 1920,37
71,1940-1959,37
13,1940-1959,36
47,Before 1920,36
70,1920-1939,35
86,1940-1959,35
88,1920-1939,35
89,After 2010,35
58,1940-1959,34
18,1940-1959,33
69,1940-1959,33
90,1920-1939,33
55,1940-1959,32
10,1920-1939,31
43,1920-1939,31
46,Before 1920,31
52,1920-1939,29
39,1960-1989,28
11,1940-1959,27
73,1920-1939,26
22,1940-1959,24
66,1940-1959,24
14,1940-1959,23
58,1920-1939,23
72,1940-1959,23
86,1920-1939,23
41,1920-1939,22
82,Before 1920,22
91,1940-1959,22
19,1990-2009,21
20,1940-1959,21
23,1920-1939,21
43,Before 1920,21
35,1940-1959,20
70,Before 1920,20
81,1920-1939,20
94,Before 1920,20
77,1920-1939,19
89,1990-2009,18
91,1920-1939,18
15,1940-1959,17
19,After 2010,17
32,1940-1959,17
21,1940-1959,16
31,1940-1959,16
62,1940-1959,16
66,1920-1939,16
79,1920-1939,16
99,1940-1959,16
11,1920-1939,15
20,1920-1939,15
25,1920-1939,15
28,1920-1939,15
65,1940-1959,15
17,1940-1959,14
18,1920-1939,14
33,1940-1959,14
96,1920-1939,14
13,1920-1939,13
65,1920-1939,13
77,Before 1920,13
14,1920-1939,12
29,1940-1959,12
49,1920-1939,12
56,Before 1920,12
71,1920-1939,12
74,1940-1959,12
26,1940-1959,11
65,Before 1920,11
66,Before 1920,11
81,Before 1920,11
90,Before 1920,11
24,1940-1959,10
27,1940-1959,10
38,1940-1959,10
52,Before 1920,10
96,Before 1920,10
98,After 2010,10
19,1960-1989,9
21,1920-1939,9
22,Before 1920,9
36,1920-1939,9
36,Before 1920,9
59,1920-1939,9
62,1920-1939,9
17,1920-1939,8
20,Before 1920,8
32,1920-1939,8
42,1920-1939,8
72,1920-1939,8
85,Before 1920,8
95,1920-1939,8
24,1920-1939,7
49,Before 1920,7
59,1940-1959,7
63,1940-1959,7
71,Before 1920,7
73,Before 1920,7
89,1960-1989,7
22,1920-1939,6
24,Before 1920,6
26,1920-1939,6
27,Before 1920,6
33,1920-1939,6
35,1920-1939,6
50,1940-1959,6
55,Before 1920,6
62,Before 1920,6
63,1920-1939,6
69,Before 1920,6
93,Before 1920,6
95,Before 1920,6
15,1920-1939,5
16,1920-1939,5
25,Before 1920,5
27,1920-1939,5
33,Before 1920,5
36,1940-1959,5
41,Before 1920,5
50,1920-1939,5
69,1920-1939,5
74,Before 1920,5
10,Before 1920,4
23,Before 1920,4
26,Before 1920,4
38,1920-1939,4
78,1940-1959,4
98,1990-2009,4
99,Before 1920,4
11,Before 1920,3
14,Before 1920,3
15,Before 1920,3
28,Before 1920,3
37,1920-1939,3
50,Before 1920,3
51,1920-1939,3
