NaceCodeGroup,NaceDescription_FR,JuridicalForm,JuridicalForm_FR,EnterpriseCount
14,Industrie de l’habillement,12.0,,139
53,Activités de poste et de courrier,12.0,,139
28,Fabrication de machines et équipements nca,3.0,,138
69,Activités juridiques et comptables,30.0,,138
42,Génie civil,30.0,,135
60,"Activités de programmation, de diffusion, d’agence de presse et autres activités de distribution de contenu",612.0,,135
74,"Autres activités spécialisées, scientifiques et techniques",30.0,,135
80,Activités d’investigation et de sécurité,15.0,,135
95,"Réparation et entretien d’ordinateurs, de biens personnels et domestiques et d’automobiles et motocycles",17.0,,135
31,Fabrication de meubles,11.0,,134
52,Entreposage et services auxiliaires des transports,3.0,,134
58,Activités d’édition,12.0,,134
13,Fabrication de textiles,11.0,,133
15,"Fabrication de cuir, d’articles en cuir et de produits similaires dans d’autres matières",25.0,,133
75,Activités vétérinaires,15.0,,133
72,Recherche et développement scientifique,612.0,,131
26,"Fabrication de produits informatiques, électroniques et optiques",15.0,,130
43,Travaux de construction spécialisés,6.0,,130
52,Entreposage et services auxiliaires des transports,12.0,,130
38,"Collecte, valorisation et élimination des déchets;",15.0,,128
78,Activités liées à l’emploi,12.0,,128
92,Activités de jeux d’argent et de paris,14.0,,126
73,"Activités de publicité, d’études de marché et de relations publiques",8.0,,125
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles; fabrication d’articles en vannerie et sparterie",3.0,,124
61,Télécommunications,612.0,,123
69,Activités juridiques et comptables,8.0,,123
10,Industries alimentaires,17.0,,121
96,Activités de services aux personnes,3.0,,121
56,Activités de service de restauration,6.0,,120
69,Activités juridiques et comptables,17.0,,120
12,Fabrication de produits à base de tabac,14.0,,119
82,"Activités de service de bureau, de soutien administratif et d’autre soutien aux entreprises",8.0,,119
73,"Activités de publicité, d’études de marché et de relations publiques",721.0,,117
46,Commerce de gros,6.0,,116
65,"Assurance, réassurance et fonds de pension, à l’exclusion de la sécurité sociale obligatoire",3.0,,114
23,Fabrication d’autres produits minéraux non métalliques,612.0,,113
49,Transports terrestres et transports par conduites,17.0,,113
84,Administration publique et défense; sécurité sociale obligatoire,610.0,,113
63,"Infrastructure informatique, traitement de données et autres activités de service d'information",30.0,,112
36,"Captage, traitement et distribution d’eau",610.0,,111
87,Activités de soins en établissement résidentiel,3.0,,111
90,Activités de création artistique et de spectacle,721.0,,111
96,Activités de services aux personnes,706.0,,111
56,Activités de service de restauration,706.0,,110
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles; fabrication d’articles en vannerie et sparterie",706.0,,109
25,"Fabrication de produits métalliques, à l’exception des machines et des équipements",30.0,,109
43,Travaux de construction spécialisés,17.0,,109
43,Travaux de construction spécialisés,235.0,,109
30,Fabrication d’autres matériels de transport,14.0,,108
53,Activités de poste et de courrier,14.0,,108
60,"Activités de programmation, de diffusion, d’agence de presse et autres activités de distribution de contenu",15.0,,108
65,"Assurance, réassurance et fonds de pension, à l’exclusion de la sécurité sociale obligatoire",14.0,,105
79,"Activités d’agence de voyage, de voyagiste, de service de réservation et de services connexes",11.0,,105
85,Enseignement,706.0,,104
95,"Réparation et entretien d’ordinateurs, de biens personnels et domestiques et d’automobiles et motocycles",721.0,,104
42,Génie civil,12.0,,102
21,Industrie pharmaceutique,15.0,,101
12,Fabrication de produits à base de tabac,15.0,,100
85,Enseignement,125.0,,98
11,Fabrication de boissons,706.0,,95
55,Hébergement,12.0,,95
68,Activités immobilières,418.0,,95
85,Enseignement,3.0,,95
56,Activités de service de restauration,30.0,,94
75,Activités vétérinaires,721.0,,94
51,Transports aériens,14.0,,93
58,Activités d’édition,30.0,,91
80,Activités d’investigation et de sécurité,612.0,,90
93,Activités sportives et activités récréatives et de loisirs,30.0,,90
66,Activités auxiliaires d’activités de services financiers et d’assurance,721.0,,88
50,Transport par eau,15.0,,87
72,Recherche et développement scientifique,30.0,,87
81,Activités de services pour les bâtiments et l’aménagement paysager,8.0,,87
23,Fabrication d’autres produits minéraux non métalliques,3.0,,86
24,Métallurgie,15.0,,86
35,"Production et distribution d’électricité, de gaz, de vapeur et d’air conditionné",15.0,,86
74,"Autres activités spécialisées, scientifiques et techniques",3.0,,86
91,"Bibliothèques, archives, musées et autres activités culturelles",14.0,,85
94,Activités des organisations associatives,29.0,,85
11,Fabrication de boissons,12.0,,83
22,Fabrication de produits en caoutchouc et en plastique,612.0,,83
28,Fabrication de machines et équipements nca,612.0,,83
35,"Production et distribution d’électricité, de gaz, de vapeur et d’air conditionné",70.0,,82
52,Entreposage et services auxiliaires des transports,17.0,,81
73,"Activités de publicité, d’études de marché et de relations publiques",706.0,,81
42,Génie civil,3.0,,80
71,Activités d’architecture et d’ingénierie; activités de contrôle et analyses techniques,706.0,,80
12,Fabrication de produits à base de tabac,11.0,,78
20,Industrie chimique,15.0,,78
32,Autres industries manufacturières,17.0,,78
37,Collecte et traitement des eaux usées,411.0,,78
62,"Programmation, conseil et autres activités informatiques",721.0,,78
70,Activités des sièges sociaux et conseil de gestion,6.0,,78
32,Autres industries manufacturières,12.0,,77
33,"Réparation, entretien et installation de machines et d’équipements",721.0,,77
43,Travaux de construction spécialisés,706.0,,77
11,Fabrication de boissons,3.0,,76
11,Fabrication de boissons,30.0,,76
20,Industrie chimique,30.0,,76
62,"Programmation, conseil et autres activités informatiques",8.0,,76
64,"Activités de services financiers, hors assurance et fonds de pension",17.0,,76
64,"Activités de services financiers, hors assurance et fonds de pension",706.0,,76
72,Recherche et développement scientifique,125.0,,76
25,"Fabrication de produits métalliques, à l’exception des machines et des équipements",721.0,,74
36,"Captage, traitement et distribution d’eau",411.0,,74
22,Fabrication de produits en caoutchouc et en plastique,3.0,,73
29,Industrie automobile,15.0,,73
81,Activités de services pour les bâtiments et l’aménagement paysager,706.0,,73
10,Industries alimentaires,12.0,,72
12,Fabrication de produits à base de tabac,17.0,,72
28,Fabrication de machines et équipements nca,30.0,,72
77,Activités de location et location-bail,8.0,,72
82,"Activités de service de bureau, de soutien administratif et d’autre soutien aux entreprises",6.0,,72
35,"Production et distribution d’électricité, de gaz, de vapeur et d’air conditionné",706.0,,71
71,Activités d’architecture et d’ingénierie; activités de contrôle et analyses techniques,8.0,,70
72,Recherche et développement scientifique,11.0,,70
81,Activités de services pour les bâtiments et l’aménagement paysager,6.0,,70
88,Activités d’action sociale sans hébergement,15.0,,70
13,Fabrication de textiles,3.0,,69
35,"Production et distribution d’électricité, de gaz, de vapeur et d’air conditionné",30.0,,69
41,Construction de bâtiments résidentiels et non résidentiels,8.0,,68
31,Fabrication de meubles,3.0,,67
88,Activités d’action sociale sans hébergement,721.0,,67
94,Activités des organisations associatives,26.0,,67
10,Industries alimentaires,706.0,,66
15,"Fabrication de cuir, d’articles en cuir et de produits similaires dans d’autres matières",12.0,,66
35,"Production et distribution d’électricité, de gaz, de vapeur et d’air conditionné",612.0,,65
51,Transports aériens,30.0,,65
60,"Activités de programmation, de diffusion, d’agence de presse et autres activités de distribution de contenu",14.0,,65
90,Activités de création artistique et de spectacle,3.0,,65
97,Activités des ménages en tant qu’employeurs de personnel domestique,610.0,,65
14,Industrie de l’habillement,25.0,,64
94,Activités des organisations associatives,706.0,,64
68,Activités immobilières,411.0,,63
18,Imprimerie et reproduction d’enregistrements,3.0,,62
21,Industrie pharmaceutique,612.0,,62
31,Fabrication de meubles,12.0,,62
37,Collecte et traitement des eaux usées,14.0,,62
51,Transports aériens,15.0,,62
62,"Programmation, conseil et autres activités informatiques",706.0,,61
75,Activités vétérinaires,11.0,,61
77,Activités de location et location-bail,706.0,,61
35,"Production et distribution d’électricité, de gaz, de vapeur et d’air conditionné",17.0,,60
38,"Collecte, valorisation et élimination des déchets;",3.0,,60
49,Transports terrestres et transports par conduites,6.0,,60
51,Transports aériens,612.0,,60
95,"Réparation et entretien d’ordinateurs, de biens personnels et domestiques et d’automobiles et motocycles",30.0,,60
38,"Collecte, valorisation et élimination des déchets;",17.0,,59
65,"Assurance, réassurance et fonds de pension, à l’exclusion de la sécurité sociale obligatoire",30.0,,59
14,Industrie de l’habillement,3.0,,58
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles; fabrication d’articles en vannerie et sparterie",6.0,,58
60,"Activités de programmation, de diffusion, d’agence de presse et autres activités de distribution de contenu",11.0,,58
47,Commerce de détail,16.0,,57
61,Télécommunications,17.0,,57
68,Activités immobilières,13.0,,57
78,Activités liées à l’emploi,30.0,,57
11,Fabrication de boissons,25.0,,56
23,Fabrication d’autres produits minéraux non métalliques,11.0,,56
52,Entreposage et services auxiliaires des transports,721.0,,56
56,Activités de service de restauration,411.0,,55
84,Administration publique et défense; sécurité sociale obligatoire,124.0,,55
85,Enseignement,151.0,,55
88,Activités d’action sociale sans hébergement,3.0,,55
39,Activités de dépollution et autres activités de service de gestion des déchets,14.0,,54
49,Transports terrestres et transports par conduites,8.0,,54
49,Transports terrestres et transports par conduites,721.0,,54
90,Activités de création artistique et de spectacle,418.0,,54
96,Activités de services aux personnes,8.0,,54
27,Fabrication d’équipements électriques,612.0,,53
32,Autres industries manufacturières,30.0,,53
50,Transport par eau,721.0,,53
64,"Activités de services financiers, hors assurance et fonds de pension",8.0,,53
79,"Activités d’agence de voyage, de voyagiste, de service de réservation et de services connexes",12.0,,53
24,Métallurgie,612.0,,52
26,"Fabrication de produits informatiques, électroniques et optiques",612.0,,52
63,"Infrastructure informatique, traitement de données et autres activités de service d'information",3.0,,52
93,Activités sportives et activités récréatives et de loisirs,8.0,,52
93,Activités sportives et activités récréatives et de loisirs,706.0,,52
20,Industrie chimique,3.0,,51
80,Activités d’investigation et de sécurité,11.0,,51
90,Activités de création artistique et de spectacle,30.0,,51
30,Fabrication d’autres matériels de transport,15.0,,50
32,Autres industries manufacturières,3.0,,50
37,Collecte et traitement des eaux usées,15.0,,50
60,"Activités de programmation, de diffusion, d’agence de presse et autres activités de distribution de contenu",12.0,,50
63,"Infrastructure informatique, traitement de données et autres activités de service d'information",125.0,,50
84,Administration publique et défense; sécurité sociale obligatoire,129.0,,50
85,Enseignement,8.0,,50
88,Activités d’action sociale sans hébergement,706.0,,50
10,Industries alimentaires,30.0,,49
78,Activités liées à l’emploi,3.0,,49
92,Activités de jeux d’argent et de paris,11.0,,49
35,"Production et distribution d’électricité, de gaz, de vapeur et d’air conditionné",3.0,,48
91,"Bibliothèques, archives, musées et autres activités culturelles",15.0,,48
22,Fabrication de produits en caoutchouc et en plastique,11.0,,47
36,"Captage, traitement et distribution d’eau",14.0,,47
63,"Infrastructure informatique, traitement de données et autres activités de service d'information",706.0,,47
66,Activités auxiliaires d’activités de services financiers et d’assurance,17.0,,47
74,"Autres activités spécialisées, scientifiques et techniques",706.0,,47
28,Fabrication de machines et équipements nca,11.0,,46
59,"Production de films cinématographiques, de vidéos et de programmes de télévision; enregistrement sonore et édition musicale",3.0,,46
63,"Infrastructure informatique, traitement de données et autres activités de service d'information",721.0,,46
69,Activités juridiques et comptables,6.0,,46
71,Activités d’architecture et d’ingénierie; activités de contrôle et analyses techniques,125.0,,46
77,Activités de location et location-bail,6.0,,46
95,"Réparation et entretien d’ordinateurs, de biens personnels et domestiques et d’automobiles et motocycles",8.0,,46
96,Activités de services aux personnes,6.0,,46
99,Activités des organisations et organismes extraterritoriaux,30.0,,46
38,"Collecte, valorisation et élimination des déchets;",612.0,,45
53,Activités de poste et de courrier,17.0,,45
56,Activités de service de restauration,418.0,,45
60,"Activités de programmation, de diffusion, d’agence de presse et autres activités de distribution de contenu",30.0,,45
80,Activités d’investigation et de sécurité,17.0,,45
84,Administration publique et défense; sécurité sociale obligatoire,418.0,,45
90,Activités de création artistique et de spectacle,706.0,,45
95,"Réparation et entretien d’ordinateurs, de biens personnels et domestiques et d’automobiles et motocycles",6.0,,45
13,Fabrication de textiles,721.0,,44
74,"Autres activités spécialisées, scientifiques et techniques",125.0,,44
75,Activités vétérinaires,3.0,,44
13,Fabrication de textiles,17.0,,43
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles; fabrication d’articles en vannerie et sparterie",8.0,,43
27,Fabrication d’équipements électriques,3.0,,43
70,Activités des sièges sociaux et conseil de gestion,13.0,,43
79,"Activités d’agence de voyage, de voyagiste, de service de réservation et de services connexes",30.0,,43
82,"Activités de service de bureau, de soutien administratif et d’autre soutien aux entreprises",26.0,,43
90,Activités de création artistique et de spectacle,8.0,,43
61,Télécommunications,11.0,,42
65,"Assurance, réassurance et fonds de pension, à l’exclusion de la sécurité sociale obligatoire",,,42
87,Activités de soins en établissement résidentiel,420.0,,42
13,Fabrication de textiles,12.0,,41
41,Construction de bâtiments résidentiels et non résidentiels,6.0,,41
61,Télécommunications,30.0,,41
96,Activités de services aux personnes,30.0,,41
14,Industrie de l’habillement,30.0,,40
15,"Fabrication de cuir, d’articles en cuir et de produits similaires dans d’autres matières",706.0,,40
29,Industrie automobile,612.0,,40
39,Activités de dépollution et autres activités de service de gestion des déchets,721.0,,40
50,Transport par eau,612.0,,40
61,Télécommunications,12.0,,40
86,Activités pour la santé humaine,30.0,,40
17,Industrie du papier et du carton,15.0,,39
46,Commerce de gros,411.0,,39
72,Recherche et développement scientifique,12.0,,39
72,Recherche et développement scientifique,721.0,,39
73,"Activités de publicité, d’études de marché et de relations publiques",6.0,,39
84,Administration publique et défense; sécurité sociale obligatoire,19.0,,39
86,Activités pour la santé humaine,706.0,,39
15,"Fabrication de cuir, d’articles en cuir et de produits similaires dans d’autres matières",17.0,,38
22,Fabrication de produits en caoutchouc et en plastique,411.0,,38
50,Transport par eau,30.0,,38
87,Activités de soins en établissement résidentiel,15.0,,38
94,Activités des organisations associatives,15.0,,38
12,Fabrication de produits à base de tabac,706.0,,37
22,Fabrication de produits en caoutchouc et en plastique,721.0,,37
55,Hébergement,30.0,,37
55,Hébergement,999.0,,37
84,Administration publique et défense; sécurité sociale obligatoire,420.0,,37
94,Activités des organisations associatives,235.0,,37
15,"Fabrication de cuir, d’articles en cuir et de produits similaires dans d’autres matières",3.0,,36
38,"Collecte, valorisation et élimination des déchets;",706.0,,36
58,Activités d’édition,3.0,,36
59,"Production de films cinématographiques, de vidéos et de programmes de télévision; enregistrement sonore et édition musicale",8.0,,36
92,Activités de jeux d’argent et de paris,612.0,,36
94,Activités des organisations associatives,14.0,,36
64,"Activités de services financiers, hors assurance et fonds de pension",13.0,,35
74,"Autres activités spécialisées, scientifiques et techniques",8.0,,35
80,Activités d’investigation et de sécurité,12.0,,35
84,Administration publique et défense; sécurité sociale obligatoire,51.0,,35
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles; fabrication d’articles en vannerie et sparterie",30.0,,34
62,"Programmation, conseil et autres activités informatiques",6.0,,34
75,Activités vétérinaires,12.0,,34
24,Métallurgie,30.0,,33
84,Administration publique et défense; sécurité sociale obligatoire,422.0,,33
94,Activités des organisations associatives,22.0,,33
22,Fabrication de produits en caoutchouc et en plastique,30.0,,32
27,Fabrication d’équipements électriques,30.0,,32
28,Fabrication de machines et équipements nca,12.0,,32
38,"Collecte, valorisation et élimination des déchets;",721.0,,32
41,Construction de bâtiments résidentiels et non résidentiels,706.0,,32
85,Enseignement,124.0,,32
94,Activités des organisations associatives,612.0,,32
31,Fabrication de meubles,17.0,,31
35,"Production et distribution d’électricité, de gaz, de vapeur et d’air conditionné",721.0,,31
68,Activités immobilières,6.0,,31
69,Activités juridiques et comptables,706.0,,31
79,"Activités d’agence de voyage, de voyagiste, de service de réservation et de services connexes",3.0,,31
90,Activités de création artistique et de spectacle,26.0,,31
15,"Fabrication de cuir, d’articles en cuir et de produits similaires dans d’autres matières",6.0,,30
22,Fabrication de produits en caoutchouc et en plastique,12.0,,30
38,"Collecte, valorisation et élimination des déchets;",11.0,,30
58,Activités d’édition,125.0,,30
88,Activités d’action sociale sans hébergement,14.0,,30
99,Activités des organisations et organismes extraterritoriaux,610.0,,30
99,Activités des organisations et organismes extraterritoriaux,999.0,,30
29,Industrie automobile,3.0,,29
30,Fabrication d’autres matériels de transport,612.0,,29
35,"Production et distribution d’électricité, de gaz, de vapeur et d’air conditionné",12.0,,29
46,Commerce de gros,16.0,,29
64,"Activités de services financiers, hors assurance et fonds de pension",721.0,,29
66,Activités auxiliaires d’activités de services financiers et d’assurance,706.0,,29
70,Activités des sièges sociaux et conseil de gestion,26.0,,29
85,Enseignement,26.0,,29
91,"Bibliothèques, archives, musées et autres activités culturelles",612.0,,29
21,Industrie pharmaceutique,11.0,,28
21,Industrie pharmaceutique,30.0,,28
21,Industrie pharmaceutique,411.0,,28
24,Métallurgie,3.0,,28
26,"Fabrication de produits informatiques, électroniques et optiques",3.0,,28
35,"Production et distribution d’électricité, de gaz, de vapeur et d’air conditionné",11.0,,28
39,Activités de dépollution et autres activités de service de gestion des déchets,612.0,,28
65,"Assurance, réassurance et fonds de pension, à l’exclusion de la sécurité sociale obligatoire",15.0,,28
90,Activités de création artistique et de spectacle,6.0,,28
14,Industrie de l’habillement,706.0,,27
15,"Fabrication de cuir, d’articles en cuir et de produits similaires dans d’autres matières",8.0,,27
23,Fabrication d’autres produits minéraux non métalliques,12.0,,27
23,Fabrication d’autres produits minéraux non métalliques,721.0,,27
39,Activités de dépollution et autres activités de service de gestion des déchets,15.0,,27
59,"Production de films cinématographiques, de vidéos et de programmes de télévision; enregistrement sonore et édition musicale",721.0,,27
84,Administration publique et défense; sécurité sociale obligatoire,310.0,,27
89,,610.0,,27
90,Activités de création artistique et de spectacle,29.0,,27
92,Activités de jeux d’argent et de paris,12.0,,27
20,Industrie chimique,11.0,,26
27,Fabrication d’équipements électriques,11.0,,26
33,"Réparation, entretien et installation de machines et d’équipements",17.0,,26
35,"Production et distribution d’électricité, de gaz, de vapeur et d’air conditionné",411.0,,26
66,Activités auxiliaires d’activités de services financiers et d’assurance,8.0,,26
84,Administration publique et défense; sécurité sociale obligatoire,303.0,,26
86,Activités pour la santé humaine,8.0,,26
88,Activités d’action sociale sans hébergement,30.0,,26
10,Industries alimentaires,8.0,,25
17,Industrie du papier et du carton,3.0,,25
20,Industrie chimique,612.0,,25
26,"Fabrication de produits informatiques, électroniques et optiques",11.0,,25
26,"Fabrication de produits informatiques, électroniques et optiques",30.0,,25
27,Fabrication d’équipements électriques,12.0,,25
31,Fabrication de meubles,30.0,,25
38,"Collecte, valorisation et élimination des déchets;",417.0,,25
56,Activités de service de restauration,16.0,,25
62,"Programmation, conseil et autres activités informatiques",125.0,,25
84,Administration publique et défense; sécurité sociale obligatoire,721.0,,25
86,Activités pour la santé humaine,125.0,,25
88,Activités d’action sociale sans hébergement,29.0,,25
88,Activités d’action sociale sans hébergement,125.0,,25
91,"Bibliothèques, archives, musées et autres activités culturelles",11.0,,25
91,"Bibliothèques, archives, musées et autres activités culturelles",418.0,,25
92,Activités de jeux d’argent et de paris,3.0,,25
99,Activités des organisations et organismes extraterritoriaux,721.0,,25
82,"Activités de service de bureau, de soutien administratif et d’autre soutien aux entreprises",29.0,,24
88,Activités d’action sociale sans hébergement,12.0,,24
11,Fabrication de boissons,8.0,,23
18,Imprimerie et reproduction d’enregistrements,30.0,,23
52,Entreposage et services auxiliaires des transports,706.0,,23
56,Activités de service de restauration,412.0,,23
72,Recherche et développement scientifique,706.0,,23
74,"Autres activités spécialisées, scientifiques et techniques",6.0,,23
75,Activités vétérinaires,17.0,,23
85,Enseignement,6.0,,23
93,Activités sportives et activités récréatives et de loisirs,411.0,,23
94,Activités des organisations associatives,151.0,,23
12,Fabrication de produits à base de tabac,25.0,,22
19,Cokéfaction et raffinage,14.0,,22
29,Industrie automobile,11.0,,22
29,Industrie automobile,30.0,,22
41,Construction de bâtiments résidentiels et non résidentiels,235.0,,22
47,Commerce de détail,235.0,,22
59,"Production de films cinématographiques, de vidéos et de programmes de télévision; enregistrement sonore et édition musicale",30.0,,22
72,Recherche et développement scientifique,3.0,,22
91,"Bibliothèques, archives, musées et autres activités culturelles",29.0,,22
94,Activités des organisations associatives,3.0,,22
96,Activités de services aux personnes,125.0,,22
99,Activités des organisations et organismes extraterritoriaux,235.0,,22
12,Fabrication de produits à base de tabac,12.0,,21
21,Industrie pharmaceutique,17.0,,21
24,Métallurgie,17.0,,21
26,"Fabrication de produits informatiques, électroniques et optiques",12.0,,21
32,Autres industries manufacturières,721.0,,21
36,"Captage, traitement et distribution d’eau",,,21
47,Commerce de détail,26.0,,21
50,Transport par eau,11.0,,21
55,Hébergement,8.0,,21
58,Activités d’édition,8.0,,21
58,Activités d’édition,706.0,,21
63,"Infrastructure informatique, traitement de données et autres activités de service d'information",8.0,,21
78,Activités liées à l’emploi,706.0,,21
84,Administration publique et défense; sécurité sociale obligatoire,14.0,,21
84,Administration publique et défense; sécurité sociale obligatoire,415.0,,21
85,Enseignement,29.0,,21
86,Activités pour la santé humaine,420.0,,21
88,Activités d’action sociale sans hébergement,412.0,,21
90,Activités de création artistique et de spectacle,125.0,,21
94,Activités des organisations associatives,123.0,,21
96,Activités de services aux personnes,411.0,,21
24,Métallurgie,11.0,,20
27,Fabrication d’équipements électriques,721.0,,20
49,Transports terrestres et transports par conduites,235.0,,20
65,"Assurance, réassurance et fonds de pension, à l’exclusion de la sécurité sociale obligatoire",2.0,,20
79,"Activités d’agence de voyage, de voyagiste, de service de réservation et de services connexes",721.0,,20
80,Activités d’investigation et de sécurité,721.0,,20
84,Administration publique et défense; sécurité sociale obligatoire,151.0,,20
87,Activités de soins en établissement résidentiel,999.0,,20
93,Activités sportives et activités récréatives et de loisirs,6.0,,20
23,Fabrication d’autres produits minéraux non métalliques,30.0,,19
38,"Collecte, valorisation et élimination des déchets;",30.0,,19
52,Entreposage et services auxiliaires des transports,8.0,,19
68,Activités immobilières,26.0,,19
68,Activités immobilières,412.0,,19
71,Activités d’architecture et d’ingénierie; activités de contrôle et analyses techniques,6.0,,19
72,Recherche et développement scientifique,29.0,,19
88,Activités d’action sociale sans hébergement,420.0,,19
14,Industrie de l’habillement,8.0,,18
17,Industrie du papier et du carton,30.0,,18
18,Imprimerie et reproduction d’enregistrements,721.0,,18
24,Métallurgie,721.0,,18
42,Génie civil,8.0,,18
49,Transports terrestres et transports par conduites,706.0,,18
51,Transports aériens,11.0,,18
51,Transports aériens,17.0,,18
52,Entreposage et services auxiliaires des transports,235.0,,18
52,Entreposage et services auxiliaires des transports,411.0,,18
58,Activités d’édition,721.0,,18
61,Télécommunications,3.0,,18
91,"Bibliothèques, archives, musées et autres activités culturelles",26.0,,18
91,"Bibliothèques, archives, musées et autres activités culturelles",721.0,,18
99,Activités des organisations et organismes extraterritoriaux,14.0,,18
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles; fabrication d’articles en vannerie et sparterie",25.0,,17
30,Fabrication d’autres matériels de transport,30.0,,17
41,Construction de bâtiments résidentiels et non résidentiels,17.0,,17
43,Travaux de construction spécialisés,16.0,,17
47,Commerce de détail,411.0,,17
51,Transports aériens,12.0,,17
55,Hébergement,706.0,,17
65,"Assurance, réassurance et fonds de pension, à l’exclusion de la sécurité sociale obligatoire",21.0,,17
65,"Assurance, réassurance et fonds de pension, à l’exclusion de la sécurité sociale obligatoire",612.0,,17
84,Administration publique et défense; sécurité sociale obligatoire,416.0,,17
87,Activités de soins en établissement résidentiel,612.0,,17
88,Activités d’action sociale sans hébergement,26.0,,17
89,,14.0,,17
92,Activités de jeux d’argent et de paris,17.0,,17
93,Activités sportives et activités récréatives et de loisirs,125.0,,17
94,Activités des organisations associatives,11.0,,17
99,Activités des organisations et organismes extraterritoriaux,17.0,,17
20,Industrie chimique,235.0,,16
25,"Fabrication de produits métalliques, à l’exception des machines et des équipements",17.0,,16
31,Fabrication de meubles,721.0,,16
56,Activités de service de restauration,420.0,,16
65,"Assurance, réassurance et fonds de pension, à l’exclusion de la sécurité sociale obligatoire",12.0,,16
68,Activités immobilières,29.0,,16
87,Activités de soins en établissement résidentiel,412.0,,16
12,Fabrication de produits à base de tabac,30.0,,15
13,Fabrication de textiles,30.0,,15
17,Industrie du papier et du carton,17.0,,15
18,Imprimerie et reproduction d’enregistrements,8.0,,15
21,Industrie pharmaceutique,3.0,,15
21,Industrie pharmaceutique,721.0,,15
22,Fabrication de produits en caoutchouc et en plastique,17.0,,15
23,Fabrication d’autres produits minéraux non métalliques,17.0,,15
24,Métallurgie,12.0,,15
28,Fabrication de machines et équipements nca,721.0,,15
53,Activités de poste et de courrier,6.0,,15
68,Activités immobilières,124.0,,15
73,"Activités de publicité, d’études de marché et de relations publiques",16.0,,15
73,"Activités de publicité, d’études de marché et de relations publiques",26.0,,15
73,"Activités de publicité, d’études de marché et de relations publiques",411.0,,15
75,Activités vétérinaires,14.0,,15
80,Activités d’investigation et de sécurité,3.0,,15
80,Activités d’investigation et de sécurité,30.0,,15
82,"Activités de service de bureau, de soutien administratif et d’autre soutien aux entreprises",508.0,,15
84,Administration publique et défense; sécurité sociale obligatoire,11.0,,15
12,Fabrication de produits à base de tabac,3.0,,14
19,Cokéfaction et raffinage,610.0,,14
21,Industrie pharmaceutique,12.0,,14
36,"Captage, traitement et distribution d’eau",15.0,,14
47,Commerce de détail,125.0,,14
47,Commerce de détail,508.0,,14
53,Activités de poste et de courrier,8.0,,14
55,Hébergement,411.0,,14
64,"Activités de services financiers, hors assurance et fonds de pension",411.0,,14
66,Activités auxiliaires d’activités de services financiers et d’assurance,26.0,,14
69,Activités juridiques et comptables,125.0,,14
70,Activités des sièges sociaux et conseil de gestion,65.0,,14
77,Activités de location et location-bail,411.0,,14
81,Activités de services pour les bâtiments et l’aménagement paysager,418.0,,14
82,"Activités de service de bureau, de soutien administratif et d’autre soutien aux entreprises",411.0,,14
87,Activités de soins en établissement résidentiel,706.0,,14
91,"Bibliothèques, archives, musées et autres activités culturelles",3.0,,14
99,Activités des organisations et organismes extraterritoriaux,,,14
30,Fabrication d’autres matériels de transport,11.0,,13
35,"Production et distribution d’électricité, de gaz, de vapeur et d’air conditionné",8.0,,13
37,Collecte et traitement des eaux usées,721.0,,13
38,"Collecte, valorisation et élimination des déchets;",12.0,,13
42,Génie civil,706.0,,13
50,Transport par eau,3.0,,13
50,Transport par eau,17.0,,13
68,Activités immobilières,16.0,,13
70,Activités des sièges sociaux et conseil de gestion,16.0,,13
70,Activités des sièges sociaux et conseil de gestion,616.0,,13
71,Activités d’architecture et d’ingénierie; activités de contrôle et analyses techniques,235.0,,13
79,"Activités d’agence de voyage, de voyagiste, de service de réservation et de services connexes",8.0,,13
81,Activités de services pour les bâtiments et l’aménagement paysager,235.0,,13
84,Administration publique et défense; sécurité sociale obligatoire,706.0,,13
86,Activités pour la santé humaine,6.0,,13
88,Activités d’action sociale sans hébergement,411.0,,13
18,Imprimerie et reproduction d’enregistrements,6.0,,12
33,"Réparation, entretien et installation de machines et d’équipements",8.0,,12
36,"Captage, traitement et distribution d’eau",706.0,,12
37,Collecte et traitement des eaux usées,612.0,,12
39,Activités de dépollution et autres activités de service de gestion des déchets,11.0,,12
42,Génie civil,411.0,,12
46,Commerce de gros,13.0,,12
47,Commerce de détail,412.0,,12
49,Transports terrestres et transports par conduites,411.0,,12
61,Télécommunications,6.0,,12
64,"Activités de services financiers, hors assurance et fonds de pension",6.0,,12
64,"Activités de services financiers, hors assurance et fonds de pension",26.0,,12
64,"Activités de services financiers, hors assurance et fonds de pension",125.0,,12
68,Activités immobilières,114.0,,12
72,Recherche et développement scientifique,8.0,,12
81,Activités de services pour les bâtiments et l’aménagement paysager,422.0,,12
84,Administration publique et défense; sécurité sociale obligatoire,301.0,,12
84,Administration publique et défense; sécurité sociale obligatoire,612.0,,12
87,Activités de soins en établissement résidentiel,29.0,,12
90,Activités de création artistique et de spectacle,411.0,,12
91,"Bibliothèques, archives, musées et autres activités culturelles",30.0,,12
